"","Year","date","product","weight","location","Total.Days.Weight"
"6641",2015,2015-06-18,"preserved lemon","750","student house",NA
"6642",2015,2015-06-18,"massaman curry powder","400","student house",NA
"6643",2015,2015-06-18,"caster sugar","700","student house",NA
"6644",2015,2015-06-18,"musili","600","student house",NA
"6645",2015,2015-06-18,"sweets","140","student house",NA
"6646",2015,2015-06-18,"basmati rice","500","student house",NA
"6647",2015,2015-06-18,"cashew nuts","140","student house",NA
"6648",2015,2015-06-18,"self raising flour","300","student house",NA
"6649",2015,2015-06-18,"oat crunch","800","student house",NA
"6650",2015,2015-06-18,"demerara","300","student house",NA
"6651",2015,2015-06-18,"egg noodles","500","student house",NA
"6652",2015,2015-06-18,"green lentils","300","student house",NA
"6653",2015,2015-06-18,"gara masala","100","student house",NA
"6654",2015,2015-06-18,"cous cous","300","student house",NA
"6655",2015,2015-06-18,"fish sauce","250","student house",NA
"6656",2015,2015-06-18,"light soy sauce","100","student house",NA
"6657",2015,2015-06-18,"pumpkin seeds","100","student house",NA
"6658",2015,2015-06-18,"leeks","250","student house",NA
"6659",2015,2015-06-18,"dark chocolate","100","student house",NA
"6660",2015,2015-06-18,"cabbage","120","student house",NA
"6661",2015,2015-06-18,"bell peppers","260","student house",NA
"6662",2015,2015-06-18,"knorr mixed herbs","280","student house",NA
"6663",2015,2015-06-18,"giant wild rice","250","student house",NA
"6664",2015,2015-06-18,"pumpkin seeds","260","student house",NA
"6665",2015,2015-06-18,"pea shoots","50","student house",25561
"6666",2015,2015-06-19,"cup noodles","270","private",NA
"6667",2015,2015-06-19,"sandwiches","3200","bradford academy",3470
"6668",2015,2015-06-22,"beef ravioli","1200","student house",NA
"6669",2015,2015-06-22,"spagehetti","2400","student house",NA
"6670",2015,2015-06-22,"spaghetti hoops","6010","student house",NA
"6671",2015,2015-06-22,"baked beans","6645","student house",NA
"6672",2015,2015-06-22,"plum tomatoes","2400","student house",NA
"6673",2015,2015-06-22,"chopped tomatoes","3190","student house",NA
"6674",2015,2015-06-22,"red kidney beans","3600","student house",NA
"6675",2015,2015-06-22,"chickpeas","1600","student house",NA
"6676",2015,2015-06-22,"chilli con carne","400","student house",NA
"6677",2015,2015-06-22,"chicken soup","1200","student house",NA
"6678",2015,2015-06-22,"tuna chunks","740","student house",NA
"6679",2015,2015-06-22,"lentil soup","400","student house",NA
"6680",2015,2015-06-22,"Potato & leek soup","400","student house",NA
"6681",2015,2015-06-22,"tomato soup","2000","student house",NA
"6682",2015,2015-06-22,"petit pois & bacon soup","800","student house",NA
"6683",2015,2015-06-22,"oxtail soup","400","student house",NA
"6684",2015,2015-06-22,"thick country veg soup","400","student house",NA
"6685",2015,2015-06-22,"mushroom soup","400","student house",NA
"6686",2015,2015-06-22,"french onion soup","400","student house",NA
"6687",2015,2015-06-22,"veg soup","300","student house",NA
"6688",2015,2015-06-22,"coconut milk","800","student house",NA
"6689",2015,2015-06-22,"mackerel","250","student house",NA
"6690",2015,2015-06-22,"sardines","120","student house",NA
"6691",2015,2015-06-22,"Sweetcorn","326","student house",NA
"6692",2015,2015-06-22,"Beef & veg soup","400","student house",NA
"6693",2015,2015-06-22,"cannellini","1100","student house",NA
"6694",2015,2015-06-22,"butter beans","300","student house",NA
"6695",2015,2015-06-22,"pasta sauce","500","student house",NA
"6696",2015,2015-06-22,"peanut butter","1020","student house",NA
"6697",2015,2015-06-22,"raspberry jam","454","student house",NA
"6698",2015,2015-06-22,"garlic peri peri sauce","125","student house",NA
"6699",2015,2015-06-22,"creamy tomato pasta bake","1000","student house",NA
"6700",2015,2015-06-22,"thai green curry sauce","500","student house",NA
"6701",2015,2015-06-22,"white wine sauce","480","student house",NA
"6702",2015,2015-06-22,"italian fusilli pasta","500","student house",NA
"6703",2015,2015-06-22,"green lentils","400","student house",NA
"6704",2015,2015-06-22,"black eyed beans","300","student house",NA
"6705",2015,2015-06-22,"mixed beans","300","student house",NA
"6706",2015,2015-06-22,"penne pasta","3000","student house",NA
"6707",2015,2015-06-22,"fusilli","2800","student house",NA
"6708",2015,2015-06-22,"arborio rice","1000","student house",NA
"6709",2015,2015-06-22,"noodles","188","student house",NA
"6710",2015,2015-06-22,"super noodles","600","student house",NA
"6711",2015,2015-06-22,"dolmio tomato & basil sauce","1190","student house",NA
"6712",2015,2015-06-22,"popcorn","25","student house",NA
"6713",2015,2015-06-22,"carbonara","480","student house",NA
"6714",2015,2015-06-22,"murgh methi","285","student house",NA
"6715",2015,2015-06-22,"dal burhara","285","student house",NA
"6716",2015,2015-06-22,"dal makhani","285","student house",NA
"6717",2015,2015-06-22,"rice crackers","200","student house",NA
"6718",2015,2015-06-22,"pepper rasam","300","student house",NA
"6719",2015,2015-06-22,"curry leaves powder","100","student house",NA
"6720",2015,2015-06-22,"breakfast mix","170","student house",NA
"6721",2015,2015-06-22,"medium peri peri","125","student house",NA
"6722",2015,2015-06-22,"jelly babies","190","student house",NA
"6723",2015,2015-06-22,"loose tea leaves","100","student house",NA
"6724",2015,2015-06-22,"wheat berries","500","student house",NA
"6725",2015,2015-06-22,"cappuccino","100","student house",NA
"6726",2015,2015-06-22,"camomile","40","student house",NA
"6727",2015,2015-06-22,"mint green tea","20","student house",NA
"6728",2015,2015-06-22,"shredded wheat","40","student house",NA
"6729",2015,2015-06-22,"choco mocha","20","student house",NA
"6730",2015,2015-06-22,"drinking chocolate","300","student house",NA
"6731",2015,2015-06-22,"humbugs","200","student house",NA
"6732",2015,2015-06-22,"chicken noodle cup a soup","100","student house",NA
"6733",2015,2015-06-22,"nutri grain","370","student house",NA
"6734",2015,2015-06-22,"vanilla tea","60","student house",NA
"6735",2015,2015-06-22,"chicken cup a soup","100","student house",NA
"6736",2015,2015-06-22,"sweet chilli hoops","72","student house",NA
"6737",2015,2015-06-22,"wheat bisks","800","student house",NA
"6738",2015,2015-06-22,"cous cous","310","student house",NA
"6739",2015,2015-06-22,"angel delight","59","student house",NA
"6740",2015,2015-06-22,"stir fry sauce","360","student house",NA
"6741",2015,2015-06-22,"brown rice","250","student house",NA
"6742",2015,2015-06-22,"noodles","100","student house",NA
"6743",2015,2015-06-22,"chicken curry mix","33","student house",NA
"6744",2015,2015-06-22,"colmans mix","64","student house",NA
"6745",2015,2015-06-22,"rogan josh sauce","360","student house",NA
"6746",2015,2015-06-22,"salad dressing","240","student house",NA
"6747",2015,2015-06-22,"tikka masala sauce","360","student house",NA
"6748",2015,2015-06-22,"madras paste","198","student house",NA
"6749",2015,2015-06-22,"peri peri sauce","250","student house",NA
"6750",2015,2015-06-22,"custard creams","54","student house",NA
"6751",2015,2015-06-22,"chocolate biscuits","264","student house",NA
"6752",2015,2015-06-22,"strawberry jam","113","student house",NA
"6753",2015,2015-06-22,"pg tips","200","student house",NA
"6754",2015,2015-06-22,"stirfry seasoning","65","student house",NA
"6755",2015,2015-06-22,"chicken spice","43","student house",NA
"6756",2015,2015-06-22,"black peppercorn","50","student house",NA
"6757",2015,2015-06-22,"green tea","32","student house",NA
"6758",2015,2015-06-22,"bicarb sachets","42","student house",NA
"6759",2015,2015-06-22,"red bush tea","100","student house",NA
"6760",2015,2015-06-22,"raspberry jelly","150","student house",NA
"6761",2015,2015-06-22,"oyster sauce","570","student house",NA
"6762",2015,2015-06-22,"vanilla essence","35","student house",NA
"6763",2015,2015-06-22,"chickpeas","240","student house",NA
"6764",2015,2015-06-22,"white wine vinegar","350","student house",NA
"6765",2015,2015-06-22,"brownie mix","568","student house",NA
"6766",2015,2015-06-22,"stirfry noodles","120","student house",NA
"6767",2015,2015-06-22,"herb mix","6","student house",NA
"6768",2015,2015-06-22,"pumpkin seeds","100","student house",NA
"6769",2015,2015-06-22,"sesame seeds","150","student house",NA
"6770",2015,2015-06-22,"sunflower seeds","300","student house",NA
"6771",2015,2015-06-22,"chicken soup mix","102","student house",NA
"6772",2015,2015-06-22,"Tomato & herb sauce","290","student house",NA
"6773",2015,2015-06-22,"ginger powder","60","student house",NA
"6774",2015,2015-06-22,"mug shot","68","student house",NA
"6775",2015,2015-06-22,"noodles","85","student house",NA
"6776",2015,2015-06-22,"soya drink powder","10","student house",NA
"6777",2015,2015-06-22,"quaker oats","80","student house",NA
"6778",2015,2015-06-22,"mushroom rice","250","student house",NA
"6779",2015,2015-06-22,"veg  gravy granuals","200","student house",NA
"6780",2015,2015-06-22,"Chicken & sweetcorn soup","47","student house",NA
"6781",2015,2015-06-22,"dolmio carbonara","150","student house",NA
"6782",2015,2015-06-22,"cup noodles","300","student house",NA
"6783",2015,2015-06-22,"breakfast bar","60","student house",NA
"6784",2015,2015-06-22,"table salt","750","student house",NA
"6785",2015,2015-06-22,"ready salted crisps","80","student house",NA
"6786",2015,2015-06-22,"various tea sachets","250","student house",NA
"6787",2015,2015-06-22,"various herbal tea sachets","440","student house",NA
"6788",2015,2015-06-22,"organic tea","100","student house",NA
"6789",2015,2015-06-22,"monin","250","student house",NA
"6790",2015,2015-06-22,"ginger bread","250","student house",NA
"6791",2015,2015-06-22,"hot peppers","340","student house",NA
"6792",2015,2015-06-22,"zebu","400","student house",NA
"6793",2015,2015-06-22,"writing icing","77","student house",NA
"6794",2015,2015-06-22,"gummi world","70","student house",NA
"6795",2015,2015-06-22,"haribo","50","student house",NA
"6796",2015,2015-06-22,"icing sugar","500","student house",NA
"6797",2015,2015-06-22,"stroop waffles","500","student house",NA
"6798",2015,2015-06-22,"microwave popcorn","200","student house",NA
"6799",2015,2015-06-22,"ghee rice","1500","student house",NA
"6800",2015,2015-06-22,"brown rice","500","student house",NA
"6801",2015,2015-06-22,"brown bread","800","nisa",NA
"6802",2015,2015-06-22,"white bread","400","nisa",NA
"6803",2015,2015-06-22,"coleslaw","500","nisa",NA
"6804",2015,2015-06-22,"yoghurt","1215","nisa",NA
"6805",2015,2015-06-22,"activia yoghurt","500","nisa",NA
"6806",2015,2015-06-22,"bread buns","22400","food court uk",NA
"6807",2015,2015-06-22,"baguettes","14400","food court uk",NA
"6808",2015,2015-06-22,"floured bread","38800","food court uk",NA
"6809",2015,2015-06-22,"lettuce tomatoes","190","food court uk",NA
"6810",2015,2015-06-22,"fanta orange","600","food court uk",NA
"6811",2015,2015-06-22,"still water","2000","food court uk",NA
"6812",2015,2015-06-22,"lettuce  ","200","katheryn",NA
"6813",2015,2015-06-22,"nestles breakfast","250","NLFB",NA
"6814",2015,2015-06-22,"tuc biscuits","150","NLFB",NA
"6815",2015,2015-06-22,"cookies","200","NLFB",NA
"6816",2015,2015-06-22,"peach slices","411","NLFB",NA
"6817",2015,2015-06-22,"wild blueberry jam","370","NLFB",NA
"6818",2015,2015-06-22,"chicken stock pots","224","NLFB",NA
"6819",2015,2015-06-22,"coffee","233","NLFB",NA
"6820",2015,2015-06-22,"hot chololate orange","20","NLFB",NA
"6821",2015,2015-06-22,"hot chocolate chilli","20","NLFB",NA
"6822",2015,2015-06-22,"hot chocolate vanilla","20","NLFB",NA
"6823",2015,2015-06-22,"hot chocolate white","20","NLFB",NA
"6824",2015,2015-06-22,"ravioli","250","NLFB",NA
"6825",2015,2015-06-22,"frey bentos pie","470","NLFB",NA
"6826",2015,2015-06-22,"tuna chunks","740","NLFB",NA
"6827",2015,2015-06-22,"old el paso salsa","300","NLFB",NA
"6828",2015,2015-06-22,"first milk","800","NLFB",NA
"6829",2015,2015-06-22,"green peas & petits pois","400","NLFB",NA
"6830",2015,2015-06-22,"apricot jam","290","NLFB",NA
"6831",2015,2015-06-22,"pasta bake sauce","500","NLFB",NA
"6832",2015,2015-06-22,"chilli powder","38","NLFB",NA
"6833",2015,2015-06-22,"hot chocolate","320","NLFB",NA
"6834",2015,2015-06-22,"red salmon","213","NLFB",NA
"6835",2015,2015-06-22,"wild pink salmon","426","NLFB",NA
"6836",2015,2015-06-22,"sardines","480","NLFB",NA
"6837",2015,2015-06-22,"roasted curry powder","500","NLFB",NA
"6838",2015,2015-06-22,"el paso salsa","235","NLFB",NA
"6839",2015,2015-06-22,"Date & tamarind chutney","340","NLFB",NA
"6840",2015,2015-06-22,"lemon curd","312","NLFB",NA
"6841",2015,2015-06-22,"refried beans","435","NLFB",NA
"6842",2015,2015-06-22,"chickpeas","400","NLFB",NA
"6843",2015,2015-06-22,"pork casserole","840","NLFB",NA
"6844",2015,2015-06-22,"diet coke","330","NLFB",NA
"6845",2015,2015-06-22,"carnation cream","283","NLFB",NA
"6846",2015,2015-06-22,"pitted black olives","350","NLFB",NA
"6847",2015,2015-06-22,"green lentils","500","NLFB",NA
"6848",2015,2015-06-22,"whole wheat spaghetti","1000","NLFB",NA
"6849",2015,2015-06-22,"rice  ","350","NLFB",NA
"6850",2015,2015-06-22,"porridge oats","600","NLFB",NA
"6851",2015,2015-06-22,"xmas pudding","454","NLFB",NA
"6852",2015,2015-06-22,"chilli puree","80","NLFB",NA
"6853",2015,2015-06-22,"bulgar wheat","500","NLFB",NA
"6854",2015,2015-06-22,"coffee","100","NLFB",NA
"6855",2015,2015-06-22,"pearl barley","500","NLFB",NA
"6856",2015,2015-06-22,"Carrot & corriander soup","400","NLFB",NA
"6857",2015,2015-06-22,"Sweet & sour cooking sauce","500","NLFB",NA
"6858",2015,2015-06-22,"green pitted olives","560","NLFB",NA
"6859",2015,2015-06-22,"blackcurrent jelly","510","NLFB",NA
"6860",2015,2015-06-22,"extra virgin olive oil","125","NLFB",NA
"6861",2015,2015-06-22,"puy lentils","250","NLFB",NA
"6862",2015,2015-06-22,"dolmio sauce","350","NLFB",NA
"6863",2015,2015-06-22,"butter beans","410","NLFB",NA
"6864",2015,2015-06-22,"beef curry","400","NLFB",NA
"6865",2015,2015-06-22,"mushroom soup","290","NLFB",NA
"6866",2015,2015-06-22,"chicken thai soup","400","NLFB",NA
"6867",2015,2015-06-22,"baby dinner","230","NLFB",NA
"6868",2015,2015-06-22,"french dressing","250","NLFB",NA
"6869",2015,2015-06-22,"twinnings tea","250","NLFB",NA
"6870",2015,2015-06-22,"stock cubes","160","NLFB",NA
"6871",2015,2015-06-22,"mild salsa","326","NLFB",NA
"6872",2015,2015-06-22,"pasta bake sauce","500","NLFB",NA
"6873",2015,2015-06-22,"baby dinner","128","NLFB",NA
"6874",2015,2015-06-22,"baby egg custard","128","NLFB",NA
"6875",2015,2015-06-22,"dessicated coconut","200","NLFB",NA
"6876",2015,2015-06-22,"peri peri sauce","135","NLFB",NA
"6877",2015,2015-06-22,"mint tea","40","NLFB",NA
"6878",2015,2015-06-22,"angel delight","47","NLFB",NA
"6879",2015,2015-06-22,"Chicken & herb mix","207","NLFB",NA
"6880",2015,2015-06-22,"colemans white sauce","25","NLFB",NA
"6881",2015,2015-06-22,"schwartz sauce","46","NLFB",NA
"6882",2015,2015-06-22,"Mushroom & bacon soup","37","NLFB",NA
"6883",2015,2015-06-22,"chedder cheese sauce","40","NLFB",NA
"6884",2015,2015-06-22,"onion soup","32","NLFB",NA
"6885",2015,2015-06-22,"pizza base mix","145","NLFB",NA
"6886",2015,2015-06-22,"savoury rice","360","NLFB",NA
"6887",2015,2015-06-22,"pasta n sauce","110","NLFB",NA
"6888",2015,2015-06-22,"Brocolli & stilton soup","60","NLFB",NA
"6889",2015,2015-06-22,"Lemon & herb mix","20","NLFB",NA
"6890",2015,2015-06-22,"cous cous","110","NLFB",NA
"6891",2015,2015-06-22,"chicken noodle soup","51","NLFB",NA
"6892",2015,2015-06-22,"Pumpkin & garlic","41","NLFB",NA
"6893",2015,2015-06-22,"sweet thai stir fry sauce","120","NLFB",NA
"6894",2015,2015-06-22,"stirfry sauce","240","NLFB",NA
"6895",2015,2015-06-22,"roast turkey gravy","25","NLFB",NA
"6896",2015,2015-06-22,"hollindaise sauce","25","NLFB",NA
"6897",2015,2015-06-22,"mushroom rice","50","NLFB",NA
"6898",2015,2015-06-22,"basmati rice","400","NLFB",NA
"6899",2015,2015-06-22,"choc angel delight","49","NLFB",NA
"6900",2015,2015-06-22,"tea bags","340","NLFB",NA
"6901",2015,2015-06-22,"peppermint tea","100","NLFB",NA
"6902",2015,2015-06-22,"red wine","500","student house",NA
"6903",2015,2015-06-22,"dark rum","200","student house",NA
"6904",2015,2015-06-22,"olive oil","750","student house",NA
"6905",2015,2015-06-22,"basmati rice","1000","student house",NA
"6906",2015,2015-06-22,"brown sugar","500","student house",NA
"6907",2015,2015-06-22,"toasted sesame oil","80","student house",NA
"6908",2015,2015-06-22,"paprika","50","student house",NA
"6909",2015,2015-06-22,"basilic","10","student house",NA
"6910",2015,2015-06-22,"mirin seasoning","100","student house",NA
"6911",2015,2015-06-22,"ground black pepper","50","student house",NA
"6912",2015,2015-06-22,"sardines","120","student house",NA
"6913",2015,2015-06-22,"paprika","24","student house",NA
"6914",2015,2015-06-22,"oregano","6","student house",NA
"6915",2015,2015-06-22,"cornflour","100","student house",NA
"6916",2015,2015-06-22,"pearl barley","440","student house",NA
"6917",2015,2015-06-22,"creamed coconut","200","student house",NA
"6918",2015,2015-06-22,"coarse ground pepper","80","student house",NA
"6919",2015,2015-06-22,"oyster sauce","100","student house",NA
"6920",2015,2015-06-22,"chopped tomatoes","400","student house",NA
"6921",2015,2015-06-22,"baked beans","425","student house",NA
"6922",2015,2015-06-22,"jalfrez spice paste","283","student house",NA
"6923",2015,2015-06-22,"coconut milk","400","student house",NA
"6924",2015,2015-06-22,"borlotti beans","410","student house",NA
"6925",2015,2015-06-22,"black olives","2309","student house",NA
"6926",2015,2015-06-22,"tortelloni","280","student house",NA
"6927",2015,2015-06-22,"tonic water","150","student house",NA
"6928",2015,2015-06-22,"plain flair","500","student house",NA
"6929",2015,2015-06-22,"lasagne sheets","120","student house",NA
"6930",2015,2015-06-22,"sugar","460","student house",NA
"6931",2015,2015-06-22,"spaghetti","300","student house",NA
"6932",2015,2015-06-22,"teriyaki","70","student house",NA
"6933",2015,2015-06-22,"ground nut oil","250","student house",NA
"6934",2015,2015-06-22,"bicarbonate of soda","180","student house",NA
"6935",2015,2015-06-22,"spaghetti","200","student house",NA
"6936",2015,2015-06-22,"quinoa","340","student house",NA
"6937",2015,2015-06-22,"cashew nuts","140","student house",NA
"6938",2015,2015-06-22,"cooking oil","100","student house",NA
"6939",2015,2015-06-22,"basmati rice","520","student house",NA
"6940",2015,2015-06-22,"sushi rice","280","student house",NA
"6941",2015,2015-06-22,"brown cane sugar","240","student house",NA
"6942",2015,2015-06-22,"crushed chilli","80","student house",NA
"6943",2015,2015-06-22,"lea and perrius worcester sauce","200","student house",NA
"6944",2015,2015-06-22,"quixo stock cubes","100","student house",NA
"6945",2015,2015-06-22,"stock melt","20","student house",NA
"6946",2015,2015-06-22,"sweet chilli sauce","100","student house",NA
"6947",2015,2015-06-22,"lentils (orange)","300","student house",NA
"6948",2015,2015-06-22,"couscous","100","student house",NA
"6949",2015,2015-06-22,"sugar","300","student house",NA
"6950",2015,2015-06-22,"pork seasoning","10","student house",NA
"6951",2015,2015-06-22,"black sesame seeds","80","student house",NA
"6952",2015,2015-06-22,"thyme","10","student house",NA
"6953",2015,2015-06-22,"ground ginger","15","student house",NA
"6954",2015,2015-06-22,"cumin powder","30","student house",NA
"6955",2015,2015-06-22,"brown sauce","100","student house",NA
"6956",2015,2015-06-22,"mixed spice","40","student house",NA
"6957",2015,2015-06-22,"paprika","25","student house",NA
"6958",2015,2015-06-22,"chilli con carne mix","41","student house",NA
"6959",2015,2015-06-22,"vanilla essence","20","student house",NA
"6960",2015,2015-06-22,"gravy granules","10","student house",192629
"6961",2015,2015-06-23,"chicken","2040","nandos",NA
"6962",2015,2015-06-23,"mussels","6030","the mussel pot",8070
"6963",2015,2015-06-24,"coffee","100","private",NA
"6964",2015,2015-06-24,"milk","1000","private",NA
"6965",2015,2015-06-24,"sugar","1000","private",NA
"6966",2015,2015-06-24,"burger buns","110","private",NA
"6967",2015,2015-06-24,"milk","200","function",NA
"6968",2015,2015-06-24,"sandwiches","1001","function",NA
"6969",2015,2015-06-24,"muffins","300","function",NA
"6970",2015,2015-06-24,"crisps","300","function",4011
"6971",2015,2015-06-25,"coleslaw","600","nisa",NA
"6972",2015,2015-06-25,"semolina","98","nisa",NA
"6973",2015,2015-06-25,"custard","225","nisa",NA
"6974",2015,2015-06-25,"red chilli & lime seasoning","30","nisa",NA
"6975",2015,2015-06-25,"water","250","LCC volunteers",NA
"6976",2015,2015-06-25,"fruit juice","500","LCC volunteers",NA
"6977",2015,2015-06-25,"fruits","500","LCC volunteers",NA
"6978",2015,2015-06-25,"sandwiches","1500","LCC volunteers",NA
"6979",2015,2015-06-25,"sugar","1000","private",NA
"6980",2015,2015-06-25,"milk","2000","private",NA
"6981",2015,2015-06-25,"instant coffee","200","private",6903
"6982",2015,2015-06-26,"lerpak spread","420","The Woods",NA
"6983",2015,2015-06-26,"ice cream","3400","rommi",NA
"6984",2015,2015-06-26,"fruit pastles","300","rommi",NA
"6985",2015,2015-06-26,"raspberry jelly","350","rommi",4470
"6986",2015,2015-06-29,"bread  ","35950","coop",NA
"6987",2015,2015-06-29,"focaccia","6050","coop",NA
"6988",2015,2015-06-29,"rich tea biscuits","300","student house",NA
"6989",2015,2015-06-29,"oatcakes","250","student house",NA
"6990",2015,2015-06-29,"baked beans in tomato sauce","820","student house",NA
"6991",2015,2015-06-29,"Raspberry leaf tea","20","student house",NA
"6992",2015,2015-06-29,"cranberry and raspberry tea","20","student house",NA
"6993",2015,2015-06-29,"dark choc","40","student house",NA
