"","Year","date","product","weight","location","Total.Days.Weight"
"6532",2015,2015-06-15,"cheese  ","15000","download festival",NA
"6533",2015,2015-06-15,"bread","62500","download festival",NA
"6534",2015,2015-06-15,"lettuce","8500","download festival",NA
"6535",2015,2015-06-15,"crumpets","3460","download festival",NA
"6536",2015,2015-06-15,"cheese slices","15000","download festival",NA
"6537",2015,2015-06-15,"onions","4700","download festival",NA
"6538",2015,2015-06-15,"bread cakes","6200","download festival",141460
"6539",2015,2015-06-16,"grated mozzarella","24000","private",NA
"6540",2015,2015-06-16,"pizza bases","74400","private",NA
"6541",2015,2015-06-16,"sliced pepperoni","7000","private",NA
"6542",2015,2015-06-16,"chicken pizza topping","7000","private",NA
"6543",2015,2015-06-16,"tomatoes  ","370","private",NA
"6544",2015,2015-06-16,"garlic butter","100","private",NA
"6545",2015,2015-06-16,"bread","800","nisa",NA
"6546",2015,2015-06-16,"crisps","650","nisa",NA
"6547",2015,2015-06-16,"coleslaw","250","nisa",NA
"6548",2015,2015-06-16,"soft cheese","200","nisa",NA
"6549",2015,2015-06-16,"oil","1000","private",NA
"6550",2015,2015-06-16,"tomatoes  ","300","private",NA
"6551",2015,2015-06-16,"potatoes","510","private",NA
"6552",2015,2015-06-16,"pea pods","100","private",NA
"6553",2015,2015-06-16,"mushroom","100","private",NA
"6554",2015,2015-06-16,"spring onion","90","private",NA
"6555",2015,2015-06-16,"courgettes","200","private",NA
"6556",2015,2015-06-16,"lettuce","650","private",NA
"6557",2015,2015-06-16,"cabbage","130","private",NA
"6558",2015,2015-06-16,"onions","1670","private",NA
"6559",2015,2015-06-16,"leeks","240","private",NA
"6560",2015,2015-06-16,"brocolli","200","private",NA
"6561",2015,2015-06-16,"cabbage","900","private",NA
"6562",2015,2015-06-16,"ice gems","120","private",NA
"6563",2015,2015-06-16,"oranges","720","private",NA
"6564",2015,2015-06-16,"apples","300","private",NA
"6565",2015,2015-06-16,"banana  ","210","private",NA
"6566",2015,2015-06-16,"pears","300","private",NA
"6567",2015,2015-06-16,"peach","280","private",NA
"6568",2015,2015-06-16,"tuna mayo sandwiches","880","oasis academy bradford",123670
"6569",2015,2015-06-17,"sultana scones","2600","nisa",NA
"6570",2015,2015-06-17,"basil plants","10500","TCV",NA
"6571",2015,2015-06-17,"fennel plants","800","TCV",NA
"6572",2015,2015-06-17,"fresh mint plants","500","TCV",NA
"6573",2015,2015-06-17,"butter","1000","private",NA
"6574",2015,2015-06-17,"sunflower oil","1000","private",NA
"6575",2015,2015-06-17,"milk","2000","private",NA
"6576",2015,2015-06-17,"coffee granuals","95","private",NA
"6577",2015,2015-06-17,"ground coffee","150","private",18645
"6578",2015,2015-06-18,"couscous","1000","student house",NA
"6579",2015,2015-06-18,"chickpeas","1200","student house",NA
"6580",2015,2015-06-18,"coconut creams","250","student house",NA
"6581",2015,2015-06-18,"tuna chunks","800","student house",NA
"6582",2015,2015-06-18,"red kidney beans","400","student house",NA
"6583",2015,2015-06-18,"black peppercorn","25","student house",NA
"6584",2015,2015-06-18,"cinnamon","15","student house",NA
"6585",2015,2015-06-18,"dried chives","12","student house",NA
"6586",2015,2015-06-18,"rice crackers","150","student house",NA
"6587",2015,2015-06-18,"tortilla wraps","300","student house",NA
"6588",2015,2015-06-18,"peanut butter","170","student house",NA
"6589",2015,2015-06-18,"heinz beans fridge pack","1000","student house",NA
"6590",2015,2015-06-18,"baked beans","200","student house",NA
"6591",2015,2015-06-18,"Sweetcorn & peppers","198","student house",NA
"6592",2015,2015-06-18,"dried green lentils","500","student house",NA
"6593",2015,2015-06-18,"stuffed vine leaves","280","student house",NA
"6594",2015,2015-06-18,"miso instant soup","100","student house",NA
"6595",2015,2015-06-18,"falafel mix","200","student house",NA
"6596",2015,2015-06-18,"stir fry sauce","120","student house",NA
"6597",2015,2015-06-18,"crisps","75","student house",NA
"6598",2015,2015-06-18,"veg stock","100","student house",NA
"6599",2015,2015-06-18,"hot chocolate","28","student house",NA
"6600",2015,2015-06-18,"breakfast bar","100","student house",NA
"6601",2015,2015-06-18,"black bulls eyes","70","student house",NA
"6602",2015,2015-06-18,"rich hot chocolate","75","student house",NA
"6603",2015,2015-06-18,"rice vinegar","160","student house",NA
"6604",2015,2015-06-18,"dark soy sauce","175","student house",NA
"6605",2015,2015-06-18,"sweet chilli sauce","225","student house",NA
"6606",2015,2015-06-18,"tomato ketchup","250","student house",NA
"6607",2015,2015-06-18,"peri peri marinade","200","student house",NA
"6608",2015,2015-06-18,"honey","170","student house",NA
"6609",2015,2015-06-18,"whole grain mustard","90","student house",NA
"6610",2015,2015-06-18,"instant coffee","20","student house",NA
"6611",2015,2015-06-18,"baked beans","850","student house",NA
"6612",2015,2015-06-18,"curry paste","90","student house",NA
"6613",2015,2015-06-18,"coconut oil","200","student house",NA
"6614",2015,2015-06-18,"bulgar wheat","1600","student house",NA
"6615",2015,2015-06-18,"arborio risotto","100","student house",NA
"6616",2015,2015-06-18,"long grain rice","500","student house",NA
"6617",2015,2015-06-18,"fusilli","200","student house",NA
"6618",2015,2015-06-18,"brown rice","300","student house",NA
"6619",2015,2015-06-18,"red jasmine rice","1000","student house",NA
"6620",2015,2015-06-18,"lasagne sheets","500","student house",NA
"6621",2015,2015-06-18,"green giant sweetcorn","198","student house",NA
"6622",2015,2015-06-18,"conchiglie","500","student house",NA
"6623",2015,2015-06-18,"cous cous","220","student house",NA
"6624",2015,2015-06-18,"pearl barley","80","student house",NA
"6625",2015,2015-06-18,"self raising flour","1000","student house",NA
"6626",2015,2015-06-18,"ground cumin","22","student house",NA
"6627",2015,2015-06-18,"thyme","16","student house",NA
"6628",2015,2015-06-18,"crushed chilli","20","student house",NA
"6629",2015,2015-06-18,"thyme","80","student house",NA
"6630",2015,2015-06-18,"mint","40","student house",NA
"6631",2015,2015-06-18,"mixed herbs","60","student house",NA
"6632",2015,2015-06-18,"cinnamon powder","100","student house",NA
"6633",2015,2015-06-18,"ceyenne pepper","75","student house",NA
"6634",2015,2015-06-18,"kusmin tea","220","student house",NA
"6635",2015,2015-06-18,"paprika flavour pots","184","student house",NA
"6636",2015,2015-06-18,"garden herbs flavour pots","368","student house",NA
"6637",2015,2015-06-18,"nescafe","50","student house",NA
"6638",2015,2015-06-18,"teabags","80","student house",NA
"6639",2015,2015-06-18,"dessicated coconut","200","student house",NA
"6640",2015,2015-06-18,"cornflakes","200","student house",NA
