Year,date,product,weight,location,Total Days Weight
2014,18-Dec,tinned asparagus,298,LBSU,
2014,18-Dec,chicken & sweetcorn soup,400,LBSU,
2014,18-Dec,lasagne sheets,250,LBSU,
2014,18-Dec,tinned pear halves,420,LBSU,
2014,18-Dec,salt & vinegar crisps,25,LBSU,
2014,18-Dec,smoky bacon crisps,25,LBSU,
2014,18-Dec,prawn cocktail crisps,25,LBSU,
2014,18-Dec,oatcakes,114,LBSU,
2014,18-Dec,baked beans,410,LBSU,
2014,18-Dec,garlic & herb dip,300,LBSU,
2014,18-Dec,tinned pineapple,425,LBSU,
2014,18-Dec,ketchup,20,LBSU,
2014,18-Dec,olive selection,142,LBSU,
2014,18-Dec,organic butter beans,600,LBSU,
2014,18-Dec,honey yoghurt biscuits,100,LBSU,
2014,18-Dec,plum tomatoes,800,LBSU,
2014,18-Dec,country veg soup,400,LBSU,
2014,18-Dec,breakfast tomatoes tinned,400,LBSU,
2014,18-Dec,chopped tomatoes,400,LBSU,
2014,18-Dec,moroccan cous cous,100,LBSU,
2014,18-Dec,medium dry noodles,300,LBSU,
2014,18-Dec,savoury chinese rice,120,LBSU,
2014,18-Dec,dry tuna pasta bake mix,90,LBSU,
2014,18-Dec,passover roll mix,200,LBSU,
2014,18-Dec,pumpkin soup,45,LBSU,
2014,18-Dec,chicken and sweetcorn soup,54,LBSU,
2014,18-Dec,chicken savoury rice,120,LBSU,
2014,18-Dec,casserole mix,35,LBSU,
2014,18-Dec,thai style cuppa soup,55,LBSU,
2014,18-Dec,jamaican chicken soup mix,50,LBSU,
2014,18-Dec,choc angel delight,59,LBSU,
2014,18-Dec,Chicken & mushroom pasta sauce mix,110,LBSU,
2014,18-Dec,"chicken, leek, ham pasta sauce mix",120,LBSU,
2014,18-Dec,quaker oats honey,150,LBSU,
2014,18-Dec,pasta twist,500,LBSU,
2014,18-Dec,rice,1000,LBSU,
2014,18-Dec,tomato soup,300,LBSU,
2014,18-Dec,baked beans,410,LBSU,
2014,18-Dec,curry powder,90,LBSU,
2014,18-Dec,chicken soup,400,LBSU,
2014,18-Dec,mulitgrain porridge,50,LBSU,
2014,18-Dec,baked beans,410,LBSU,
2014,18-Dec,baked beans,410,LBSU,
2014,18-Dec,baked beans,410,LBSU,
2014,18-Dec,spaghetti hoops,395,LBSU,
2014,18-Dec,spaghetti tinned,400,LBSU,
2014,18-Dec,minestrone soup,400,LBSU,
2014,18-Dec,baked beans,410,LBSU,
2014,18-Dec,tomato & basil soup,400,LBSU,
2014,18-Dec,tomato & basil soup,400,LBSU,
2014,18-Dec,tomato & basil soup,400,LBSU,
2014,18-Dec,tomato puree,142,LBSU,
2014,18-Dec,spaghetti tinned,395,LBSU,
2014,18-Dec,corned beef,340,LBSU,
2014,18-Dec,ravioli in tomato sauce,200,LBSU,
2014,18-Dec,moroccan cous cous,70,LBSU,
2014,18-Dec,John West tuna,185,LBSU,
2014,18-Dec,tinned sweetcorn,198,LBSU,
2014,18-Dec,vegetable soup,400,LBSU,
2014,18-Dec,marrowfat peas,300,LBSU,
2014,18-Dec,spaghetti in tom sauce,400,LBSU,
2014,18-Dec,chow mein instant noodles,105,LBSU,
2014,18-Dec,pizatta biscuits,50,LBSU,
2014,18-Dec,blackbean stiry fry sauce,120,LBSU,
2014,18-Dec,dill sauce mix,25,LBSU,
2014,18-Dec,root veg soup,400,LBSU,
2014,18-Dec,hoisin & garlic stir fry sauce,120,LBSU,
2014,18-Dec,instant mash,400,LBSU,
2014,18-Dec,quick cook noodles,500,LBSU,
2014,18-Dec,microwave popcorn,150,LBSU,
2014,18-Dec,peeled plum tomatoes,230,LBSU,
2014,18-Dec,sweet & sour noodles dry,67,LBSU,
2014,18-Dec,boil in a bag rice,150,LBSU,
2014,18-Dec,evaporated milk,170,LBSU,
2014,18-Dec,rice pudding,400,LBSU,
2014,18-Dec,sweet & sour noodles dry,60,LBSU,
2014,18-Dec,chicken noodles dry,46,LBSU,
2014,18-Dec,chilli noodles,50,LBSU,
2014,18-Dec,new potatoes tinned,560,LBSU,
2014,18-Dec,chicken soup mix,60,LBSU,
2014,18-Dec,"tomato, herb, onion pasta mix",110,LBSU,
2014,18-Dec,microwave egg fried rice,500,LBSU,
2014,18-Dec,microwave basmati rice,260,LBSU,
2014,18-Dec,French bread sticks,5550,LBSU,34260
2014,21-Dec,Marinated chicken,2950,LS6 café,
2014,21-Dec,potatoes,7000,LS6 café,
2014,21-Dec,parsley,500,LS6 café,
2014,21-Dec,choc garrnish,100,LS6 café,
2014,21-Dec,crispy onions,150,LS6 café,
2014,21-Dec,falafel,600,LS6 café,
2014,21-Dec,relish,1450,LS6 café,
2014,21-Dec,jam,200,LS6 café,
2014,21-Dec,red amaranth,30,LS6 café,
2014,21-Dec,veg pickle,1950,LS6 café,
2014,21-Dec,roasted red pepper,250,LS6 café,
2014,21-Dec,falafel,450,LS6 café,
2014,21-Dec,whipping cream,2000,LS6 café,
2014,21-Dec,coriander sprounts,30,LS6 café,
2014,21-Dec,rosemary,50,LS6 café,
2014,21-Dec,chives,50,LS6 café,
2014,21-Dec,cucumber,1050,LS6 café,
2014,21-Dec,cheese,1850,LS6 café,
2014,21-Dec,avocado,100,LS6 café,
2014,21-Dec,coriander,200,LS6 café,
2014,21-Dec,yogurt,1450,LS6 café,
2014,21-Dec,biscuits,100,LS6 café,
2014,21-Dec,strawberries,500,LS6 café,
2014,21-Dec,bananas,2400,LS6 café,
2014,21-Dec,cabbage,2150,LS6 café,
2014,21-Dec,tomatoes,3450,LS6 café,
2014,21-Dec,Red kidney beans,400,LBSU,
2014,21-Dec,tomato soup,400,LBSU,
2014,21-Dec,plum tomatoes,400,LBSU,
2014,21-Dec,baked beans,420,LBSU,
2014,21-Dec,rice pudding,400,LBSU,
2014,21-Dec,carrot and parsnip soup,400,LBSU,
2014,21-Dec,vegetable soup,400,LBSU,
2014,21-Dec,carrot and coriander soup,400,LBSU,
2014,21-Dec,plum tomatoes,1200,LBSU,
2014,21-Dec,chicken soup,800,LBSU,
2014,21-Dec,baked beans,425,LBSU,
2014,21-Dec,highlanders broth,400,LBSU,
2014,21-Dec,baked beans,840,LBSU,
2014,21-Dec,baked beans,415,LBSU,
2014,21-Dec,vegetable ravioli,205,LBSU,
2014,21-Dec,sliced carrots,600,LBSU,
2014,21-Dec,tinned spaguetti,400,LBSU,
2014,21-Dec,tinned mixed vegetables,400,LBSU,
2014,21-Dec,baked beans,420,LBSU,
2014,21-Dec,carrot and coriander soup,400,LBSU,
2014,21-Dec,baked beans,410,LBSU,
2014,21-Dec,tomato and garlic pasta sauce,500,LBSU,
2014,21-Dec,kidney beans,400,LBSU,
2014,21-Dec,tinned spaguetti,400,LBSU,
2014,21-Dec,tinned macaroni cheese,215,LBSU,
2014,21-Dec,tinned tuna flakes,185,LBSU,
2014,21-Dec,diet coke,2500,LBSU,
2014,21-Dec,coca colalife,500,LBSU,
2014,21-Dec,coca cola zero,500,LBSU,
2014,21-Dec,baked beans,410,LBSU,
2014,21-Dec,tinned pasta shapes,205,LBSU,
2014,21-Dec,veg big soup,400,LBSU,
2014,21-Dec,spaguetti hoops,400,LBSU,
2014,21-Dec,rice pudding,400,LBSU,
2014,21-Dec,tinned spaguetti,395,LBSU,
2014,21-Dec,baked beans,1245,LBSU,
2014,21-Dec,chopped tomatoes,400,LBSU,
2014,21-Dec,evaporated milk,410,LBSU,
2014,21-Dec,chopped tomatoes,400,LBSU,
2014,21-Dec,cream of tomato soup,400,LBSU,
2014,21-Dec,tinned hot dogs,400,LBSU,
2014,21-Dec,spaguetti in tomato sauce,400,LBSU,
2014,21-Dec,spaguetti in tomato sauce,395,LBSU,
2014,21-Dec,butter beans,300,LBSU,
2014,21-Dec,rice pudding,400,LBSU,
2014,21-Dec,tinned sweetcorn,198,LBSU,
2014,21-Dec,thai green curry sauce,350,LBSU,
2014,21-Dec,tinned macaroni cheese,410,LBSU,
2014,21-Dec,baked beans,425,LBSU,
2014,21-Dec,plum tomatoes,400,LBSU,
2014,21-Dec,drinking chocolate,250,LBSU,
2014,21-Dec,macaroni cheese,395,LBSU,
2014,21-Dec,cannelini beans,300,LBSU,
2014,21-Dec,tinned beef stew,400,LBSU,
2014,21-Dec,tomato and herb pasta mix,110,LBSU,
2014,21-Dec,fusilli pasta,500,LBSU,
2014,21-Dec,green tea,40,LBSU,
2014,21-Dec,pearl barley,500,LBSU,
2014,21-Dec,dry chickpeas,500,LBSU,
2014,21-Dec,red lentils,500,LBSU,
2014,21-Dec,steamed basmati rice,250,LBSU,
2014,21-Dec,lime and coriander steamed rice,250,LBSU,
2014,21-Dec,plain flour tortillas,320,LBSU,
2014,21-Dec,oranges,1250,LBSU,
2014,21-Dec,baked beans,415,LBSU,
2014,21-Dec,plum tomatoes,400,LBSU,
2014,21-Dec,vegetable soup,400,LBSU,
2014,21-Dec,multicrackes,200,LBSU,
2014,21-Dec,bacon super noodles,100,LBSU,
2014,21-Dec,tomato pasta sauce,400,LBSU,
2014,21-Dec,tinned chilli con carne,400,LBSU,
2014,21-Dec,tinned spaguetti,400,LBSU,
2014,21-Dec,meatballs in gravy,388,LBSU,
2014,21-Dec,weetabix,500,LBSU,
2014,21-Dec,chopped tomatoes,400,LBSU,
2014,21-Dec,tomato and pepper pasta sauce,190,LBSU,
2014,21-Dec,spaguetti in tomato sauce,395,LBSU,
2014,21-Dec,mushy peas,300,LBSU,
2014,21-Dec,tinned spaguetti loops,790,LBSU,
2014,21-Dec,chicken soup,400,LBSU,
2014,21-Dec,Tikka masala sauce,360,LBSU,
2014,21-Dec,tinned tomato soup,400,LBSU,
2014,21-Dec,cream of tomato soup,400,LBSU,
2014,21-Dec,cream of chicken soup,400,LBSU,
2014,21-Dec,tinned tomato soup,400,LBSU,
2014,21-Dec,Roast chicken and veg soup,400,LBSU,
2014,21-Dec,mushroom soup,400,LBSU,
2014,21-Dec,tinned chicken soup,400,LBSU,
2014,21-Dec,pasta sauce,440,LBSU,
2014,21-Dec,baked beans,410,LBSU,
2014,21-Dec,coffe granules,100,LBSU,
2014,21-Dec,tinned new potatoes,300,LBSU,
2014,21-Dec,tinned potatoes,540,LBSU,
2014,21-Dec,mushy peas,300,LBSU,
2014,21-Dec,canned beans,400,LBSU,
2014,21-Dec,mushorom soup,200,LBSU,
2014,21-Dec,chicken noodle soup,800,LBSU,
2014,21-Dec,apple and blackcurrant squash,500,LBSU,
2014,21-Dec,rice,375,LBSU,
2014,21-Dec,beans,415,LBSU,
2014,21-Dec,mixed fruit chutney,200,LBSU,
2014,21-Dec,dry chilli,250,LBSU,
2014,21-Dec,tomato soup,400,LBSU,
2014,21-Dec,beans and tomato sauce,200,LBSU,
2014,21-Dec,tomato soup,400,LBSU,
2014,21-Dec,beans tomato tin,415,LBSU,
2014,21-Dec,tomato soup,400,LBSU,
2014,21-Dec,noodle,150,LBSU,
2014,21-Dec,eggs,300,LBSU,
2014,21-Dec,tinned beans,200,LBSU,
2014,21-Dec,golden syrup,207,LBSU,
2014,21-Dec,rice,500,LBSU,
2014,21-Dec,mushy peas,300,LBSU,
2014,21-Dec,alphabet pasta,200,LBSU,
2014,21-Dec,soup with noodles,29,LBSU,
2014,21-Dec,mushroom soup,295,LBSU,
2014,21-Dec,beans tin,415,LBSU,
2014,21-Dec,spaguetti bolognese,800,LBSU,
2014,21-Dec,tuna,160,LBSU,
2014,21-Dec,baked beans,410,LBSU,
2014,21-Dec,curry sauce,440,LBSU,
2014,21-Dec,baked beans,420,LBSU,
2014,21-Dec,lentil and bacon soup,400,LBSU,
2014,21-Dec,coconut powder,300,LBSU,
2014,21-Dec,bicarbonate,200,LBSU,
2014,21-Dec,chocolate powder,118,LBSU,
2014,21-Dec,custard,140,LBSU,
2014,21-Dec,noodle pot,90,LBSU,
2014,21-Dec,salt,250,LBSU,
2014,21-Dec,chilli con carne sauce,500,LBSU,
2014,21-Dec,spaguetti tomato,400,LBSU,
2014,21-Dec,ready mushrrom risotto,120,LBSU,
2014,21-Dec,stir fry sauce,240,LBSU,
2014,21-Dec,strawberry jelly,135,LBSU,
2014,21-Dec,ready pasta,115,LBSU,
2014,21-Dec,tinned tomato soup,400,LBSU,
2014,21-Dec,tinned mushroom soup,400,LBSU,
2014,21-Dec,pasta,1000,LBSU,
2014,21-Dec,custard,72,LBSU,
2014,21-Dec,spaguetti bolognese,400,LBSU,
2014,21-Dec,oat porridge,150,LBSU,
2014,21-Dec,biscuits,300,LBSU,
2014,21-Dec,ready pasta,54,LBSU,
2014,21-Dec,porridge,50,LBSU,
2014,21-Dec,pasta,250,LBSU,
2014,21-Dec,ready pasta,728,LBSU,
2014,21-Dec,soup bags,107,LBSU,
2014,21-Dec,soup bags,76,LBSU,
2014,21-Dec,noodles,600,LBSU,
2014,21-Dec,biscuits,26,LBSU,
2014,21-Dec,paprika,23,LBSU,
2014,21-Dec,soup,35,LBSU,
2014,21-Dec,dry mush,200,LBSU,
2014,21-Dec,chickpeas,800,LBSU,
2014,21-Dec,ready pasta,250,LBSU,
2014,21-Dec,ready meal,250,LBSU,
2014,21-Dec,cream,3000,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,canned fruit,300,LBSU,
2014,21-Dec,soup croutons,40,LBSU,
2014,21-Dec,snack,15,LBSU,
2014,21-Dec,ready meal,400,LBSU,
2014,21-Dec,oats,288,LBSU,
2014,21-Dec,noodle,65,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,tinned peas,300,LBSU,
2014,21-Dec,pasta bake,500,LBSU,
2014,21-Dec,spaguetti 100,400,LBSU,
2014,21-Dec,tomato sauce,440,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,UHT milk,2500,LBSU,
2014,21-Dec,beetroot soup,49,LBSU,
2014,21-Dec,soup flavour,375,LBSU,
2014,21-Dec,bread mix,375,LBSU,
2014,21-Dec,ready pasta,250,LBSU,
2014,21-Dec,sausage mix,150,LBSU,
2014,21-Dec,biscuits,100,LBSU,
2014,21-Dec,pancake mix,40,LBSU,
2014,21-Dec,ready pasta,500,LBSU,
2014,21-Dec,chocolate milk,900,LBSU,
2014,21-Dec,popcorn,100,LBSU,
2014,21-Dec,flavouring meat,120,LBSU,
2014,21-Dec,noodles,450,LBSU,
2014,21-Dec,rice,1000,LBSU,
2014,21-Dec,fruit tea,100,LBSU,
2014,21-Dec,fruit tin,200,LBSU,
2014,21-Dec,soup tins,800,LBSU,
2014,21-Dec,tomato tins,112,LBSU,
2014,21-Dec,white bean,112,LBSU,
2014,21-Dec,tea bags,250,LBSU,
2014,21-Dec,soup,120,LBSU,
2014,21-Dec,soup,300,LBSU,
2014,21-Dec,hot dogs tin,400,LBSU,
2014,21-Dec,tomato soup,400,LBSU,
2014,21-Dec,pesto,190,LBSU,
2014,21-Dec,soured cream,300,LBSU,
2014,21-Dec,snack,75,LBSU,
2014,21-Dec,noodle,300,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,rice,500,LBSU,
2014,21-Dec,pasta,500,LBSU,
2014,21-Dec,soup,800,LBSU,
2014,21-Dec,spaguetti,800,LBSU,
2014,21-Dec,sauce pasta,1000,LBSU,
2014,21-Dec,tomato tins,800,LBSU,
2014,21-Dec,soups,280,LBSU,
2014,21-Dec,custard,72,LBSU,
2014,21-Dec,stir fry sauce,195,LBSU,
2014,21-Dec,rice pudding,800,LBSU,
2014,21-Dec,condensed milk,397,LBSU,
2014,21-Dec,tomato sauce,500,LBSU,
2014,21-Dec,fruit tin,800,LBSU,
2014,21-Dec,tea bags,250,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,tins,2000,LBSU,
2014,21-Dec,stocks,60,LBSU,
2014,21-Dec,tomato ketchup,342,LBSU,
2014,21-Dec,british pork,521,LBSU,
2014,21-Dec,tuna,400,LBSU,
2014,21-Dec,spaguetti,400,LBSU,
2014,21-Dec,baked beans,410,LBSU,
2014,21-Dec,rice pudding,400,LBSU,
2014,21-Dec,couscous,100,LBSU,
2014,21-Dec,baked beans,410,LBSU,
2014,21-Dec,sweet &sour sauce,425,LBSU,
2014,21-Dec,pickled onions,210,LBSU,
2014,21-Dec,makhani sauce,270,LBSU,
2014,21-Dec,soups,1000,LBSU,
2014,21-Dec,soups,300,LBSU,
2014,21-Dec,rice,1400,LBSU,
2014,21-Dec,stuffing mix,85,LBSU,
2014,21-Dec,fruit tins,1129,LBSU,
2014,21-Dec,Beans tin,415,LBSU,
2014,21-Dec,soups,970,LBSU,
2014,21-Dec,couscous,500,LBSU,
2014,21-Dec,soups,750,LBSU,
2014,21-Dec,ready pasta,120,LBSU,
2014,21-Dec,soups,60,LBSU,
2014,21-Dec,tuna,300,LBSU,
2014,21-Dec,beans tin,1600,LBSU,
2014,21-Dec,ready risotto,275,LBSU,
2014,21-Dec,sugar,300,LBSU,
2014,21-Dec,rice,375,LBSU,
2014,21-Dec,onions,300,LBSU,
2014,21-Dec,porridge,312,LBSU,
2014,21-Dec,cereals,450,LBSU,
2014,21-Dec,noodles,400,LBSU,
2014,21-Dec,ready pasta,750,LBSU,
2014,21-Dec,pesto,190,LBSU,
2014,21-Dec,cornflour,250,LBSU,
2014,21-Dec,rice,250,LBSU,
2014,21-Dec,tikka sauce,450,LBSU,
2014,21-Dec,noodles,250,LBSU,
2014,21-Dec,rice,1000,LBSU,
2014,21-Dec,microwave rice,1500,LBSU,
2014,21-Dec,curry mix,100,LBSU,
2014,21-Dec,pasta,1500,LBSU,
2014,21-Dec,rice,500,LBSU,
2014,21-Dec,soup,1700,LBSU,
2014,21-Dec,baked beans,440,LBSU,
2014,21-Dec,curry sauce,300,LBSU,
2014,21-Dec,tinned carrots,300,LBSU,
2014,21-Dec,peas,112,LBSU,
2014,21-Dec,tuna,400,LBSU,
2014,21-Dec,soup,500,LBSU,
2014,21-Dec,pasta sauce,500,LBSU,
2014,21-Dec,black bean sauce,200,LBSU,
2014,21-Dec,pasta flavouring,340,LBSU,
2014,21-Dec,tofu,800,LBSU,
2014,21-Dec,fruit tins,400,LBSU,
2014,21-Dec,tomato tins,400,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,pudding,400,LBSU,
2014,21-Dec,lasagna,250,LBSU,
2014,21-Dec,noodle,150,LBSU,
2014,21-Dec,bean sprounts,410,LBSU,
2014,21-Dec,tomato sauce,500,LBSU,
2014,21-Dec,stock cubes,240,LBSU,
2014,21-Dec,Chocolate mix,1150,LBSU,
2014,21-Dec,lasagna,375,LBSU,
2014,21-Dec,rice,500,LBSU,
2014,21-Dec,spaguetti,500,LBSU,
2014,21-Dec,soup,400,LBSU,
2014,21-Dec,spaguetti tin,800,LBSU,
2014,21-Dec,dried tomato,180,LBSU,
2014,21-Dec,loose tea,250,LBSU,
2014,21-Dec,brown sugar,500,LBSU,
2014,21-Dec,tinned tomatoes,2400,LBSU,
2014,21-Dec,tinned beans,1600,LBSU,
2014,21-Dec,tuna,640,LBSU,
2014,21-Dec,syrup pudding,115,LBSU,
2014,21-Dec,soups,1200,LBSU,
2014,21-Dec,hot chocolate,300,LBSU,
2014,21-Dec,cinnamon sticks,400,LBSU,
2014,21-Dec,sweetener,105,LBSU,
2014,21-Dec,hershey's,594,LBSU,
2014,21-Dec,onions,300,LBSU,
2014,21-Dec,clementines,950,LBSU,
2014,21-Dec,potatoes,1100,LBSU,
2014,21-Dec,xmas pudding,445,LBSU,
2014,21-Dec,stir,450,LBSU,
2014,21-Dec,fruit,155,LBSU,
2014,21-Dec,veg soup,400,LBSU,
2014,21-Dec,chilli tin,1500,LBSU,
2014,21-Dec,chocolate raisins,7,LBSU,
2014,21-Dec,red lentils,500,LBSU,
2014,21-Dec,lasagna,375,LBSU,
2014,21-Dec,jam,450,LBSU,
2014,21-Dec,mustard,100,LBSU,
2014,21-Dec,fruit tea,52,LBSU,
2014,21-Dec,tikka curry paste,200,LBSU,
2014,21-Dec,jam,500,LBSU,
2014,21-Dec,bacon jam,110,LBSU,
2014,21-Dec,gravy pot,200,LBSU,
2014,21-Dec,chorizo jam,110,LBSU,
2014,21-Dec,black treacle,454,LBSU,
2014,21-Dec,porridge,20,LBSU,
2014,21-Dec,custard,150,LBSU,
2014,21-Dec,milk tin,410,LBSU,
2014,21-Dec,mint sauce,140,LBSU,
2014,21-Dec,soups,924,LBSU,171433
2014,23-Dec,Choc chip muffins,2400,,
2014,23-Dec,White choc cookies,300,,
2014,23-Dec,sandwich tins,800,,
2014,23-Dec,passata,700,,
2014,23-Dec,long grain rice,500,,
2014,23-Dec,fusilli,500,,
2014,23-Dec,mug shots,201,,
2014,23-Dec,steam pot,150,,
2014,23-Dec,cup a noodle,48,,
2014,23-Dec,tuna chunks,80,,
2014,23-Dec,instant mash,160,,
2014,23-Dec,ground ginger,38,,
2014,23-Dec,curry sauce mix,48,,
2014,23-Dec,raviolli,800,,
2014,23-Dec,macaroni cheese,395,,
2014,23-Dec,mango chutney,325,,
2014,23-Dec,baking powder,170,,
2014,23-Dec,pilchards,120,,
2014,23-Dec,roastie coating,48,,
2014,23-Dec,fajita seasoning mix,30,,
2014,23-Dec,ginger preserve,454,,
2014,23-Dec,golden syrup,340,,
2014,23-Dec,golden syrup,680,,
2014,23-Dec,wholemeal flour,1000,,
2014,23-Dec,bicarb,100,,
2014,23-Dec,cornflour,125,,
2014,23-Dec,lemon squash,750,,
2014,23-Dec,sweetner,90,,
2014,23-Dec,balsamic and honey dressing,240,,
2014,23-Dec,cous cous,2000,,
2014,23-Dec,wing and rib sauce,130,,
2014,23-Dec,dried rice,300,,
2014,23-Dec,coucous stuffing,150,,
2014,23-Dec,dried yeast,56,,
2014,23-Dec,dried ravioli,9500,,
2014,23-Dec,cheese,2650,,
2014,23-Dec,grapes,750,,
2014,23-Dec,spicy salsa,300,,
2014,23-Dec,Baby potatoes,60000,GT Produce,
2014,23-Dec,cherry tomatoes,86100,GT Produce,
2014,23-Dec,carrots,30000,GT Produce,
2014,23-Dec,courgettes,5100,GT Produce,
2014,23-Dec,satsumas,42,GT Produce,
2014,23-Dec,shallots,5100,GT Produce,
2014,23-Dec,onions,25000,GT Produce,
2014,23-Dec,selection boxes,5152,,
2014,23-Dec,rocket,550,,244472
2014,24-Dec,BBQ mix,2400,Suma,
2014,24-Dec,goats cheese with honey,500,Suma,
2014,24-Dec,live yogurt,500,Suma,
2014,24-Dec,vegetarian soft cheese,300,Suma,
2014,24-Dec,Cherry soy yogurt,1000,Suma,
2014,24-Dec,apple soy yogurt,4000,Suma,
2014,24-Dec,wrap,6300,Suma,
2014,24-Dec,Banana chips,3200,Suma,
2014,24-Dec,sweet potato kettle crisps,1280,Suma,
2014,24-Dec,dairy free milk,24000,,
2014,24-Dec,sea salted crips,27000,,
2014,24-Dec,tyrrels crisps,2880,,
2014,24-Dec,oatmeal,6500,,
2014,24-Dec,kettle chips,1800,,
2014,24-Dec,bakarwadi bites,6400,,
2014,24-Dec,punes,12000,,
2014,24-Dec,summer fruit punch,99000,Suma,
2014,28-Dec,ginger cake,1150,Taste,
2014,28-Dec,vienesse biscuits,600,Taste,
2014,28-Dec,choc brownies,600,Taste,
2014,28-Dec,bacon quiche,1050,Taste,
2014,28-Dec,tuna mayo,950,Taste,
2014,28-Dec,stuffed peppers in oil,900,Taste,
2014,28-Dec,crayfish,900,Taste,
2014,28-Dec,baked beans,250,Taste,
2014,28-Dec,roquefort,600,Taste,
2014,28-Dec,iced buns,200,Taste,
2014,28-Dec,lasagna,2500,Taste,
2014,28-Dec,bread,3200,Taste,
2014,28-Dec,meatballs,950,Taste,
2014,28-Dec,cucumber and tomato,800,Taste,
2014,28-Dec,chicken in pesto,650,Taste,
2014,28-Dec,prawns,150,Taste,
2014,28-Dec,plain tuna,500,Taste,
2014,28-Dec,cauliflower,11400,,
2014,28-Dec,wholemeal baps,1850,,
2014,28-Dec,hovis wholemeal,1600,,
2014,28-Dec,pancakes,500,,
2014,28-Dec,coleslaw,2000,,
2014,28-Dec,wholemeal bagels,600,,
2014,28-Dec,strwberries,250,,
2014,28-Dec,fruit cross buns,300,,
2014,28-Dec,mini muffins,650,,
2014,28-Dec,hovis soft white,400,,
2014,28-Dec,tomato pizza base,270,,
2014,28-Dec,"bacon, leek and roquefort tart",400,,
2014,28-Dec,british pork,608,,
2014,28-Dec,british beef,400,,
2014,28-Dec,lamb leg shanks,897,,
2014,28-Dec,mayonnaise,400,LBSU,
2014,28-Dec,oatcakes chilli,150,LBSU,
2014,28-Dec,desicated coconut,200,LBSU,
2014,28-Dec,mustard,170,LBSU,
2014,28-Dec,lime curd,411,LBSU,
2014,28-Dec,spicy tomato salsa,200,LBSU,
2014,28-Dec,lentils,1850,LBSU,
2014,28-Dec,grain,250,LBSU,
2014,28-Dec,mung beans,1200,LBSU,
2014,28-Dec,green lentils,150,LBSU,
2014,28-Dec,dry kidney beans,400,LBSU,
2014,28-Dec,veg bouillion,50,LBSU,
2014,28-Dec,parsley,100,LBSU,
