Year,date,product,weight,location,Total Days Weight
2014,15-Dec,,,,
2014,15-Dec,chicken,10600,Nandos,
2014,15-Dec,chicken,13400,Nandos,
2014,15-Dec,brocolli,30000,GT Produce,
2014,15-Dec,baby plum tomatoes,9000,GT Produce,
2014,15-Dec,cherry tomatoes,7050,GT Produce,
2014,15-Dec,baby plum tomatoes,9000,GT Produce,
2014,15-Dec,baby plum tomatoes,9000,GT Produce,
2014,15-Dec,tomatoes,6400,GT Produce,
2014,15-Dec,brocolli,24120,GT Produce,
2014,15-Dec,white cabbage,5650,GT Produce,
2014,15-Dec,cherry tomatoes,5850,GT Produce,
2014,15-Dec,baby plum tomatoes,3000,GT Produce,
2014,15-Dec,cherry tomatoes,137000,GT Produce,
2014,15-Dec,white cabbage,7450,GT Produce,
2014,15-Dec,baby plum tomatoes,3000,GT Produce,
2014,15-Dec,carrots,9750,GT Produce,
2014,15-Dec,carrots,10150,GT Produce,
2014,15-Dec,squash,77500,GT Produce,
2014,15-Dec,white cabbage,9750,GT Produce,
2014,15-Dec,baton carrots,2700,Dock Market,
2014,15-Dec,diced potato,7500,Dock Market,
2014,15-Dec,roast potato,1050,Dock Market,
2014,15-Dec,diced potato,300,Dock Market,
2014,15-Dec,turkey slices,1100,Dock Market,
2014,15-Dec,chicken,300,Dock Market,400620
2014,16-Dec,milk,6000,Fr Ian,
2014,16-Dec,rolls,100,Fr Ian,
2014,16-Dec,pittas,2650,Fr Ian,
2014,16-Dec,bread,1600,Fr Ian,
2014,16-Dec,wraps,850,Fr Ian,
2014,16-Dec,bananas,68000,Fr Ian,
2014,16-Dec,milk,23000,Fr Ian,
2014,16-Dec,drinks,19200,Fr Ian,
2014,16-Dec,bread,3600,Fr Ian,
2014,16-Dec,croissants,120,Fr Ian,
2014,16-Dec,sandwich thins,250,Fr Ian,
2014,16-Dec,wholemeal rolls,2800,Fr Ian,
2014,16-Dec,great white rolls,1200,Fr Ian,
2014,16-Dec,multigrain wraps,5400,Fr Ian,
2014,16-Dec,wholemeal pitta,2000,Fr Ian,
2014,16-Dec,naans,1000,Fr Ian,
2014,16-Dec,kingsmill,4400,Fr Ian,
2014,16-Dec,bagels,600,Fr Ian,
2014,16-Dec,muffins,300,Fr Ian,
2014,16-Dec,brioche rolls,750,Fr Ian,
2014,16-Dec,pain au chocolate,200,Fr Ian,144020
2014,17-Dec,potatoes,243000,Private,
2014,17-Dec,sardines,360,Private,
2014,17-Dec,sardines,170,Private,
2014,17-Dec,HP sauce,2300,Private,245830
2014,18-Dec,mince pies,5650,Private,
2014,18-Dec,cocktail sausages,1000,Private,
2014,18-Dec,tetley tea samples,400,LBSU,
2014,18-Dec,boil in a bag rice,150,LBSU,
2014,18-Dec,7 vegetable soup,400,LBSU,
